单位,类别
数字广东网络建设有限公司,互联网与信息科技
荣耀终端有限公司,互联网与信息科技
中国联合网络通信集团广东省分公司,制造与实业
广东裁成律师事务所,制造与实业
富德财产保险股份有限公司,保险
深圳市积加跨境网络科技有限公司,互联网与信息科技
广州安迅经济发展有限公司,制造与实业
广东天禾农资股份有限公司,制造与实业
阿里巴巴集团,互联网与信息科技
广州市烟草专卖局（公司）,政府与事业单位
建信金融科技有限责任公司,互联网与信息科技
佛山市商务局,政府与事业单位
萍乡市发展和改革委员会,政府与事业单位
广州高新区科技控股集团有限公司,制造与实业
广州市荔湾区财政局,政府与事业单位
广东科技企业合作促进会,政府与事业单位
广州越秀金融控股集团有限公司,制造与实业
广东乐居商贸集团有限公司,制造与实业
广州卡姿兰企业管理有限公司,制造与实业
广州古易蓝珠宝饰品有限公司,制造与实业
汇丰环球客户服务（广东）有限公司,互联网与信息科技
广州珠江住房租赁发展投资有限公司,制造与实业
交通银行股份有限公司广州花都支行,银行与金控
广州开发区投资控股有限公司,制造与实业
中国工商银行股份有限公司广东省分行,银行与金控
广发银行股份有限公司信用卡中心,银行与金控
深圳市五二九七投资发展有限公司,制造与实业
广汽本田汽车有限公司,制造与实业
广东省佛山市顺德区杏坛镇人民政府,政府与事业单位
北京石基大商信息技术有限公司,互联网与信息科技
广东烟草河源市有限责任公司连平县分公司,制造与实业
招商证券股份有限公司,证券与期货
中国农业银行股份有限公司广州分行,银行与金控
广州约克伦墙纸墙布有限公司,制造与实业
佛山市哈啰信息技术服务有限公司,互联网与信息科技
一汽-大众汽车有限公司佛山分公司,制造与实业
中国工商银行广州环城支行,银行与金控
广东省地方金融监管局（2024 年机构改革后变为中共广东省委金融委员会办公室）,政府与事业单位
广发期货,证券与期货
大家人寿保险股份有限公司广东分公司,保险
中国共产党广州市纪律检查委员会,政府与事业单位
中铁上海工程局集团市政环保工程有限公司,制造与实业
珠海市区域和产业发展研究中心,政府与事业单位
南方财经全媒体集团（广东二十一世纪环球经济报社）,媒体出版
广东省信访局,政府与事业单位
儿童福利会,政府与事业单位
中国农业银行股份有限公司广州从化支行,银行与金控
烯湾科城（广州）新材料有限公司,制造与实业
中国江西国际经济技术合作有限公司,制造与实业
中电金信软件有限公司北京分公司,互联网与信息科技
广东省广盐集团股份有限公司,制造与实业
中国人寿保险股份有限公司广东省分公司,保险
中信证券,证券与期货
厦门国贸纸业有限公司,制造与实业
